appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.fluffyfairygames.idleminertycoon,Idle Miner Tycoon - Mine Manager Simulator,kolibri games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,simulation,0.99,119.99,free,0.0,4.7,"2,039,041",2039041,"Jun 30, 2016","Nov 26, 2020",True
com.riftergames.onemorebrick,One More Brick,rifter games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,0.99,6.99,free,0.0,4.5,"62,629",62629,"Nov 17, 2016","Nov 14, 2020",False
com.futureplay.boots,Idle Farming Empire,futureplay,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,simulation,1.99,119.99,free,0.0,4.4,"301,129",301129,"Jan 26, 2016","Nov 23, 2020",True
com.banana4apps.evolution,Human Evolution Clicker Game: Rise of Mankind,wazzapps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.59,24.99,free,0.0,4.3,"403,668",403668,"Mar 23, 2018","Nov 17, 2020",True
com.futureplay.city,Idle City Empire,futureplay,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,simulation,1.99,49.99,free,0.0,4.4,"104,356",104356,"Jun 8, 2016","Apr 02, 2020",True
com.ElectricTurtle.CatCrash,Crashy Cats,electric turtle,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,arcade,1.79,45.99,no info available,0.0,4.7,"39,45",3945,"Feb 17, 2017","Aug 05, 2020",False
com.mobilityware.solitaire,Solitaire,mobilityware,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,card,2.09,31.99,free,0.0,4.5,"1,501,308",1501308,"Sep 1, 2011","Nov 05, 2020",True
thinkcube.project307,Nonstop Balls,thinkcube inc.,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,5000000.0,arcade,2.19,99.99,free,0.0,4.2,"28,401",28401,"Feb 15, 2018","May 23, 2018",True
com.orbital.donttouchit,Shatterbrain - Physics Puzzles,orbital nine games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,2.39,2.39,free,0.0,4.0,"18,505",18505,"Apr 4, 2018","Aug 14, 2020",True
com.fluffyfairygames.idlefactorytycoon,Idle Factory Tycoon,kolibri games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,simulation,1.99,99.99,free,0.0,4.5,"208,628",208628,"Nov 23, 2017","May 14, 2020",True
com.innogames.foeandroid,Forge of Empires,innogames gmbh,1.0,0.0,1.0,0.0,0.0,1.0,1,7+,0.0,10000000.0,strategy,0.99,199.99,free,0.0,4.4,"788,231",788231,"Mar 24, 2015","Nov 26, 2020",True
com.playrix.homescapes,Homescapes,playrix,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,100000000.0,casual,0.59,109.99,free,0.0,4.4,"6,491,163",6491163,"Sep 19, 2017","Nov 16, 2020",True
com.h8games.helixjump,Helix Jump,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,3.59,3.59,free,0.0,4.1,"4,118,644",4118644,"Mar 12, 2018","Jun 26, 2020",True
net.peakgames.amy,Toy Blast,peak,1.0,0.0,1.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,0.99,109.99,free,0.0,4.7,"2,450,190",2450190,"Dec 12, 2014","Nov 20, 2020",True
io.voodoo.fishmaster,The Fish Master!,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,arcade,3.59,3.59,free,0.0,4.1,"59,194",59194,"Jul 17, 2018","Jul 22, 2019",True
