purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
0,1,0,0,0,everyone,0,0,Board,0,0,0.1,4.6,-0.343840021,1.21244748,-0.416887967
1,1,0,0,0,everyone,0,0,Puzzle,0,0,0.22,4.5,-0.297994262,0.938623539,-0.279704428
1,1,0,0,1,everyone,0,0,Casual,0,1,1.58,4.7,0.221591008,1.486271422,0.329344383
1,1,0,0,0,everyone,0,0,Trivia,0,0,0.18,3.9,-0.313276181,-0.70432011,0.220646714
1,1,0,0,1,everyone,0,0,Puzzle,0,1,0.09,4.6,-0.347660501,1.21244748,-0.421520098
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.22,3.7,-0.297994262,-1.251967993,0.373079278
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.8,4,-0.076406426,-0.430496168,0.032892674
1,1,1,0,1,everyone,0,0,Simulation,0,1,0.67,4.1,-0.126072665,-0.156672227,0.019752085
0,1,0,0,0,everyone,0,0,Adventure,0,1,1.55,4,0.210129569,-0.430496168,-0.090459974
1,1,0,0,0,everyone,0,0,Simulation,0,1,3.64,4,1.008609873,-0.430496168,-0.434202686
1,1,0,0,0,everyone,0,0,Simulation,0,1,1.11,4.1,0.042028452,-0.156672227,-0.006584691
0,1,0,0,0,7+,0,0,Action,0,0,0.03,3.5,-0.37058338,-1.799615875,0.666907734
1,1,0,0,0,everyone,0,0,Racing,0,1,16.78,4.2,6.028720496,0.117151715,0.706274942
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.74,4.3,-0.099329305,0.390975656,-0.03883534
1,1,0,0,0,12+,0,0,Simulation,0,0,0.18,3.9,-0.313276181,-0.70432011,0.220646714
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.56,4.1,-0.168097944,-0.156672227,0.026336279
1,1,0,0,0,everyone,0,0,Puzzle,0,1,4.39,4.2,1.295145868,0.117151715,0.151728559
1,1,0,0,0,everyone,0,0,Puzzle,0,1,5.54,4.5,1.734501059,0.938623539,1.628043522
